observed_on,url,Prey Y/N,prey_desc,latitude,longitude,notes,observer
10/7/2008,https://www.inaturalist.org/observations/9770921,N,,37.74293,-122.413,,Naumann
10/8/2008,https://www.inaturalist.org/observations/36628271,N,,44.00689,-122.98,,Eling
10/12/2008,https://www.inaturalist.org/observations/107794522,n,,38.41904,-76.2004,,WJG
10/22/2008,https://www.inaturalist.org/observations/14704001,N,,42.27932,-123.616,,Naumann
10/23/2008,https://www.inaturalist.org/observations/42244520,N,,38.96428,-74.8426,,Eling
10/26/2008,https://www.inaturalist.org/observations/12355095,N,,24.7413,-80.9808,,Naumann
10/29/2008,https://www.inaturalist.org/observations/42244522,N,,38.89719,-74.8598,,Eling
10/31/2008,https://www.inaturalist.org/observations/57643020,N,,34.02321,-119.766,,JW
11/14/2008,http://www.inaturalist.org/observations/210860,N,,35.12829,-106.385,,Eling
11/16/2008,https://www.inaturalist.org/observations/107846921,n,,38.3371,-75.2169,,WJG
11/29/2008,https://www.inaturalist.org/observations/46815096,N,,39.85218,-75.059,,JW
1/4/2009,https://www.inaturalist.org/observations/152965919,N,,40.00248,-107.837,,Naumann
1/6/2009,http://www.inaturalist.org/observations/354832,N,,34.42704,-83.8513,dead,Eling
1/17/2009,https://www.inaturalist.org/observations/69540896,Y,WWDO,32.83718,-97.1695,,JW
2/7/2009,https://www.inaturalist.org/observations/107990272,n,,38.83102,-75.2471,,WJG
2/8/2009,https://www.inaturalist.org/observations/15135811,N,,34.17972,-101.735,,Naumann
2/8/2009,https://www.inaturalist.org/observations/36218309,N,,47.57407,-117.323,,Eling
2/14/2009,https://www.inaturalist.org/observations/37545946,N,,20.91445,-100.745,,Eling
2/17/2009,https://www.inaturalist.org/observations/36918228,N,,25.94886,-97.2871,,Eling
2/21/2009,https://www.inaturalist.org/observations/8650539,N,,40.74843,-111.837,,Eling
3/1/2009,https://www.inaturalist.org/observations/75369471,N,,43.77916,-79.9358,,JW
3/1/2009,https://www.inaturalist.org/observations/132084447,N,,43.15188,-71.2112,,JW
3/2/2009,https://www.inaturalist.org/observations/7488013,N,,30.41181,-97.6487,,Eling
3/10/2009,http://www.inaturalist.org/observations/49668,N,,40.71161,-111.843,,Eling
3/15/2009,https://www.inaturalist.org/observations/65528143,N,,-35.2733,-57.2479,SSP ERYTHRONEMIUS,JW
3/17/2009,https://www.inaturalist.org/observations/13595961,N,,25.8508,-97.417,,Naumann
3/27/2009,https://www.inaturalist.org/observations/150666181,y,?,44.28895,-70.6488,,WJG
4/1/2009,https://www.inaturalist.org/observations/38412319,N,,34.17939,-101.734,,Eling
4/5/2009,https://www.inaturalist.org/observations/25890561,Y,EUST,39.74797,-74.31,,JW
4/18/2009,https://www.inaturalist.org/observations/52427803,N,,45.3925,-73.3842,,JW
4/25/2009,https://www.inaturalist.org/observations/72598591,N,,48.31119,-68.8689,,JW
4/26/2009,https://www.inaturalist.org/observations/54196938,N,,40.64432,-104.344,,JW
5/2/2009,https://www.inaturalist.org/observations/167001381,n,,-32.6203,-64.9649,,WJG
5/10/2009,https://www.inaturalist.org/observations/145292023,N,,47.36521,-69.9495,,Naumann
5/27/2009,https://www.inaturalist.org/observations/161855645,n,,6.969366,-75.4073,color banded,WJG
6/1/2009,https://www.inaturalist.org/observations/108525421,n,,42.43982,-76.2792,,WJG
6/5/2009,http://www.inaturalist.org/observations/804791,Y,HOFI,41.59708,-70.5852,,Eling
7/29/2009,https://www.inaturalist.org/observations/19137946,N,,35.84791,-106.406,,Naumann
7/31/2009,https://www.inaturalist.org/observations/19137948,N,,35.84554,-106.4,,Naumann
9/11/2009,https://www.inaturalist.org/observations/18720800,N,,35.3091,-84.0393,,Naumann
9/19/2009,http://www.inaturalist.org/observations/54236,N,,46.75492,-92.1313,,Eling
9/19/2009,https://www.inaturalist.org/observations/109694931,n,,39.41676,-76.5489,,WJG
9/20/2009,http://www.inaturalist.org/observations/900532,N,,41.76009,-70.0828,,Eling
9/26/2009,https://www.inaturalist.org/observations/8693009,N,,49.8732,-97.2285,,Eling
9/30/2009,https://www.inaturalist.org/observations/56660476,N,,38.89736,-74.9911,,JW
10/3/2009,https://www.inaturalist.org/observations/15120953,N,,19.3784,-96.3535,,Naumann
10/22/2009,https://www.inaturalist.org/observations/109861456,n,,35.81661,-75.5652,,WJG
11/12/2009,https://www.inaturalist.org/observations/173625675,n,,31.2961,-97.7754,,WJG
11/19/2009,https://www.inaturalist.org/observations/58384585,N,,26.51472,-99.1163,,JW
11/24/2009,https://www.inaturalist.org/observations/25020075,N,,30.39902,-97.759,,JW
12/8/2009,https://www.inaturalist.org/observations/69561739,N,,42.32665,-122.876,,JW
12/11/2009,http://conabio.inaturalist.org/observations/320696,N,,21.26068,-99.2754,,Eling
12/14/2009,https://www.inaturalist.org/observations/34928968,N,,38.93752,-77.3467,,JW
12/17/2009,https://www.inaturalist.org/observations/152965920,N,,40.00248,-107.837,,Naumann
1/9/2010,https://www.inaturalist.org/observations/28041163,N,,29.1845,-99.7923,,JW
1/12/2010,https://www.inaturalist.org/observations/65492330,N,,46.938,-70.8745,,JW
1/13/2010,http://inaturalist.ca/observations/2377279,N,,44.43622,-75.8846,dead,Eling
1/17/2010,https://www.inaturalist.org/observations/36596162,N,,26.51466,-99.1153,,Eling
1/23/2010,https://www.inaturalist.org/observations/61447026,NA,,40.08159,-75.1054,COOPERS HAWK,JW
1/24/2010,https://www.inaturalist.org/observations/16821010,N,,49.22042,-123.209,,Naumann
1/29/2010,https://www.inaturalist.org/observations/67021558,N,,44.03666,-64.638,,JW
2/4/2010,http://www.inaturalist.org/observations/1355456,N,,40.19273,-74.7291,,Eling
2/5/2010,https://www.inaturalist.org/observations/97256908,N,,34.17969,-101.735,,JW
2/24/2010,https://www.inaturalist.org/observations/14277288,N,,44.53318,-76.377,very dead,Naumann
2/26/2010,https://www.inaturalist.org/observations/32249957,Y,SOSP,42.36266,-74.0556,,JW
3/6/2010,https://www.inaturalist.org/observations/80136872,N,,38.39267,-77.3323,,JW
3/8/2010,http://www.inaturalist.org/observations/1816787,N,,33.85598,-98.5463,,Eling
3/9/2010,https://www.inaturalist.org/observations/34230899,N,,27.8348,-97.0725,,JW
3/11/2010,https://www.inaturalist.org/observations/57680871,N,,34.04976,-116.57,,JW
3/13/2010,https://www.inaturalist.org/observations/133671413,N,,45.50977,-73.8836,,JW
3/17/2010,https://www.inaturalist.org/observations/71365774,N,,16.10626,-91.7075,SSP CHIONOGASTER,JW
3/28/2010,https://www.inaturalist.org/observations/50195610,N,,-0.37939,-78.0766,SSP VENTRALIS,JW
4/1/2010,http://www.inaturalist.org/observations/1850183,N,,33.856,-98.5464,,Eling
4/22/2010,https://www.inaturalist.org/observations/74848099,N,,18.17448,-66.8661,SSP VENATOR,JW
6/11/2010,https://www.inaturalist.org/observations/36829076,N,,44.52856,-72.816,,Eling
6/26/2010,https://www.inaturalist.org/observations/82077727,N,,-23.6041,-46.8214,,JW
7/20/2010,https://www.inaturalist.org/observations/181562070,n,,54.78179,-127.167,,WJG
7/22/2010,https://www.inaturalist.org/observations/111017782,Y,medium avian,44.09829,-86.4578,,JW
7/24/2010,https://www.inaturalist.org/observations/28175544,NA,,29.18207,-99.896,COOPERS HAWK,JW
8/18/2010,https://www.inaturalist.org/observations/104632510,N,,34.32201,-110.878,,Eling
9/3/2010,https://www.inaturalist.org/observations/37129238,N,,-13.1749,-71.5872,,Eling
9/4/2010,https://www.inaturalist.org/observations/21778212,N,,46.30157,-78.8435,,JW
9/11/2010,https://www.inaturalist.org/observations/134108749,N,,39.69957,-78.944,,JW
9/11/2010,https://www.inaturalist.org/observations/173625656,n,,30.66818,-104.147,,WJG
9/12/2010,https://www.inaturalist.org/observations/36603880,N,,44.48714,-79.4475,,Eling
9/18/2010,https://www.inaturalist.org/observations/11072296,N,,43.9371,-79.4429,,Naumann
9/18/2010,https://www.inaturalist.org/observations/147413415,NA,,38.84306,-77.1236,COOPERS HAWK,JW
9/21/2010,https://www.inaturalist.org/observations/108551837,n,,44.68861,-75.7669,,WJG
9/26/2010,https://www.inaturalist.org/observations/7203939,N,,41.96277,-82.5184,,Eling
10/1/2010,https://www.inaturalist.org/observations/34361165,N,,27.83474,-97.0724,,JW
10/2/2010,https://www.inaturalist.org/observations/36574786,N,,38.94278,-74.968,,Eling
10/7/2010,http://www.inaturalist.org/observations/33276,N,,34.29963,-118.758,,Eling
10/7/2010,https://www.inaturalist.org/observations/144687437,N,,40.64192,-75.9918,,Naumann
10/11/2010,https://www.inaturalist.org/observations/17151452,N,,41.94949,-82.515,,Naumann
10/12/2010,https://www.inaturalist.org/observations/175605755,n,,35.79924,-82.1811,,WJG
10/16/2010,https://www.inaturalist.org/observations/36574792,N,,38.93292,-74.9579,,Eling
10/17/2010,https://www.inaturalist.org/observations/36574793,N,,38.93296,-74.958,,Eling
10/17/2010,https://www.inaturalist.org/observations/70254781,N,,18.12038,-71.5959,SSP STRIATUS,JW
10/22/2010,https://www.inaturalist.org/observations/36574795,N,,38.94296,-74.9684,,Eling
10/23/2010,https://www.inaturalist.org/observations/129867565,N,,39.31633,-76.7783,,JW
10/26/2010,https://www.inaturalist.org/observations/142826937,N,,38.93511,-74.906,,Naumann
10/29/2010,https://www.inaturalist.org/observations/129899498,N,,38.81604,-75.2855,,JW
11/7/2010,https://www.inaturalist.org/observations/36574796,N,,38.94285,-74.9679,,Eling
11/16/2010,https://www.inaturalist.org/observations/62861535,NA,,40.79895,-81.3784,COOPERS HAWK,JW
11/19/2010,https://www.inaturalist.org/observations/62861534,NA,,40.80781,-81.4572,COOPERS HAWK,JW
11/20/2010,https://www.inaturalist.org/observations/134991135,N,,36.66067,-121.758,,JW
11/26/2010,https://www.inaturalist.org/observations/137343354,N,,41.53704,-87.7688,,JW
11/27/2010,https://www.inaturalist.org/observations/133268679,Y,avian,41.15295,-73.5044,,JW
11/28/2010,https://www.inaturalist.org/observations/79273107,N,,33.0501,-112.015,,JW
12/4/2010,https://www.inaturalist.org/observations/28474878,N,,29.18201,-102.952,,JW
12/5/2010,https://www.inaturalist.org/observations/30397073,N,,47.43022,-122.213,,JW
12/12/2010,http://www.inaturalist.org/observations/455968,N,,32.84425,-116.994,,Eling
12/22/2010,https://www.inaturalist.org/observations/112317621,N,,48.32551,-122.377,,JW
12/22/2010,https://www.inaturalist.org/observations/114493703,N,,39.14397,-77.2016,,JW
12/23/2010,http://www.inaturalist.org/observations/142587,N,,37.52704,-121.839,,Eling
12/26/2010,http://www.inaturalist.org/observations/443364,N,,32.71688,-117.247,,Eling
12/27/2010,https://www.inaturalist.org/observations/67877256,N,,34.95969,-80.6613,,JW
12/28/2010,https://www.inaturalist.org/observations/85255920,N,,33.53346,-112.017,,JW
12/31/2010,https://www.inaturalist.org/observations/28468030,N,,26.17796,-98.3881,,JW
1/1/2011,https://www.inaturalist.org/observations/28510249,N,,29.1845,-99.7923,"hard to confirm as SSHA, but can't see prey either way",JW
1/3/2011,http://www.inaturalist.org/observations/3599338,N,,53.36503,-113.714,,Eling
1/5/2011,http://www.inaturalist.org/observations/424065,N,,34.18976,-118.177,,Eling
1/9/2011,http://www.inaturalist.org/observations/472397,N,,34.20776,-117.407,,Eling
1/9/2011,https://www.inaturalist.org/observations/128613321,N,,43.81012,-80.4422,,JW
1/10/2011,http://www.inaturalist.org/observations/3832095,N,,43.61871,-116.215,,Eling
1/12/2011,https://www.inaturalist.org/observations/67474281,N,,30.09754,-90.492,,JW
1/13/2011,https://www.inaturalist.org/observations/15428758,N,,39.89076,-121.971,,Naumann
1/14/2011,https://www.inaturalist.org/observations/42678752,Y,?,42.20923,-70.7327,,Eling
1/17/2011,https://www.inaturalist.org/observations/182042646,n,,44.58647,-76.3042,,WJG
1/20/2011,https://www.inaturalist.org/observations/56528401,N,,42.33587,-71.1117,,JW
1/21/2011,https://www.inaturalist.org/observations/175301948,n,,35.16366,-106.466,,WJG
1/23/2011,http://www.inaturalist.org/observations/439915,N,,32.61917,-116.932,,Eling
1/27/2011,https://www.inaturalist.org/observations/9616419,N,,45.38573,-75.7033,,Naumann
1/28/2011,http://www.inaturalist.org/observations/1546748,N,,32.85702,-96.6858,,Eling
1/29/2011,https://www.inaturalist.org/observations/28509846,N,,26.14766,-97.9892,,JW
1/30/2011,http://www.inaturalist.org/observations/2629942,N,,40.18433,-74.9543,,Eling
2/6/2011,https://www.inaturalist.org/observations/64685690,N,,39.91965,-105.268,,JW
2/7/2011,https://www.inaturalist.org/observations/60087379,NA,,49.25291,-123.1,COOPERS HAWK,JW
2/8/2011,http://www.inaturalist.org/observations/67188,N,,39.86273,-105.161,,Eling
2/8/2011,https://www.inaturalist.org/observations/67877255,N,,34.98443,-80.6191,,JW
2/9/2011,http://conabio.inaturalist.org/observations/321609,N,,23.37355,-101.378,,Eling
2/10/2011,https://www.inaturalist.org/observations/67877254,N,,34.90972,-80.6828,,JW
2/14/2011,https://www.inaturalist.org/observations/28552832,NA,,29.33497,-99.2074,COOPERS HAWK,JW
2/19/2011,https://www.inaturalist.org/observations/62631386,N,,44.18049,-76.7668,,JW
2/21/2011,http://www.inaturalist.org/observations/176868,N,,43.13304,-72.5261,,Eling
2/24/2011,https://www.inaturalist.org/observations/64810571,N,,27.65682,-98.2042,,JW
3/4/2011,https://www.inaturalist.org/observations/60980567,N,,43.83163,-79.2335,,JW
3/5/2011,http://www.inaturalist.org/observations/389745,N,,32.82217,-117.071,,Eling
3/5/2011,https://www.inaturalist.org/observations/172281624,n,,37.70427,-77.8997,,WJG
3/10/2011,https://www.inaturalist.org/observations/54074980,N,,-27.26,-52.0459,,JW
3/19/2011,https://www.inaturalist.org/observations/153365000,n,,44.05162,-78.3365,,WJG
3/20/2011,https://www.inaturalist.org/observations/120983042,Y,EUST,45.76717,-73.4744,ID confirmed by WJG,JW
3/25/2011,https://www.inaturalist.org/observations/21717832,N,,35.13457,-118.46,,JW
3/26/2011,https://www.inaturalist.org/observations/38252417,N,,40.18391,-74.9547,,Eling
3/29/2011,https://www.inaturalist.org/observations/105982280,y,EUST,39.77192,-105.002,,WJG
3/29/2011,https://www.inaturalist.org/observations/141708473,Y,EUST,39.77192,-105.002,,Naumann
3/31/2011,https://www.inaturalist.org/observations/5918385,N,,39.32521,-81.4238,,Eling
3/31/2011,https://www.inaturalist.org/observations/70769860,N,,43.41725,-72.7912,,JW
4/1/2011,https://www.inaturalist.org/observations/18998712,N,,43.785,-79.4534,,Naumann
4/1/2011,https://www.inaturalist.org/observations/42105541,N,,43.79607,-71.7077,,Eling
4/1/2011,https://www.inaturalist.org/observations/36167186,NA,,34.13239,-118.296,COHA,Eling
4/4/2011,https://www.inaturalist.org/observations/145111875,N,,46.26122,-63.158,,Naumann
4/8/2011,https://www.inaturalist.org/observations/167001285,n,,-23.851,-63.3264,,WJG
4/26/2011,https://www.inaturalist.org/observations/4872283,N,,37.82548,-122.499,,Eling
4/28/2011,https://www.inaturalist.org/observations/69440484,N,,61.86224,-121.348,,JW
5/8/2011,https://www.inaturalist.org/observations/59012080,N,,-22.424,-43.247,,JW
5/24/2011,http://www.inaturalist.org/observations/19363,NA,,45.42596,-117.278,COHA,Eling
8/14/2011,https://www.inaturalist.org/observations/111056102,N,,58.58708,-155.787,,JW
8/30/2011,http://www.inaturalist.org/observations/917614,N,,-34.413,-58.9163,,Eling
9/10/2011,https://www.inaturalist.org/observations/37595495,N,,44.00024,-77.7295,,Eling
9/13/2011,http://www.inaturalist.org/observations/82055,N,,41.37725,-71.583,,Eling
